127.0.0.1 - - [22/May/2025:20:44:31 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [22/May/2025:20:44:32 +0530] "GET /Inventory/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2025:20:44:33 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [22/May/2025:20:44:41 +0530] "POST /Inventory/Login.jsp HTTP/1.1" 500 6778
0:0:0:0:0:0:0:1 - - [22/May/2025:20:50:40 +0530] "POST /Inventory/Login.jsp HTTP/1.1" 500 3198
0:0:0:0:0:0:0:1 - - [22/May/2025:20:51:17 +0530] "POST /Inventory/Login.jsp HTTP/1.1" 500 6243
0:0:0:0:0:0:0:1 - - [22/May/2025:20:57:29 +0530] "POST /Inventory/Login.jsp HTTP/1.1" 500 5246
0:0:0:0:0:0:0:1 - - [22/May/2025:21:01:47 +0530] "POST /Inventory/Login.jsp HTTP/1.1" 500 17249
0:0:0:0:0:0:0:1 - - [22/May/2025:21:01:47 +0530] "GET /Inventory/styles.css HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [22/May/2025:21:04:28 +0530] "POST /Inventory/Login.jsp HTTP/1.1" 500 17222
0:0:0:0:0:0:0:1 - - [22/May/2025:21:04:29 +0530] "GET /Inventory/styles.css HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [22/May/2025:21:05:46 +0530] "POST /Inventory/Login.jsp HTTP/1.1" 500 17351
0:0:0:0:0:0:0:1 - - [22/May/2025:21:05:46 +0530] "GET /Inventory/styles.css HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [22/May/2025:21:06:21 +0530] "POST /Inventory/Login.jsp HTTP/1.1" 500 17361
0:0:0:0:0:0:0:1 - - [22/May/2025:21:06:21 +0530] "GET /Inventory/styles.css HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [22/May/2025:21:07:54 +0530] "POST /Inventory/Login.jsp HTTP/1.1" 500 17373
0:0:0:0:0:0:0:1 - - [22/May/2025:21:07:54 +0530] "GET /Inventory/styles.css HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [22/May/2025:21:08:16 +0530] "POST /Inventory/Login.jsp HTTP/1.1" 500 17377
0:0:0:0:0:0:0:1 - - [22/May/2025:21:08:16 +0530] "GET /Inventory/styles.css HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [22/May/2025:21:08:47 +0530] "POST /Inventory/Login.jsp HTTP/1.1" 412 680
0:0:0:0:0:0:0:1 - - [22/May/2025:21:09:06 +0530] "POST /Inventory/Login.jsp HTTP/1.1" 500 17377
0:0:0:0:0:0:0:1 - - [22/May/2025:21:09:06 +0530] "GET /Inventory/styles.css HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [22/May/2025:21:09:39 +0530] "POST /Inventory/Login.jsp HTTP/1.1" 500 17226
0:0:0:0:0:0:0:1 - - [22/May/2025:21:09:39 +0530] "GET /Inventory/styles.css HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [22/May/2025:21:10:05 +0530] "POST /Inventory/Login.jsp HTTP/1.1" 500 17485
0:0:0:0:0:0:0:1 - - [22/May/2025:21:10:05 +0530] "GET /Inventory/styles.css HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [22/May/2025:21:10:48 +0530] "POST /Inventory/Login.jsp HTTP/1.1" 500 12604
0:0:0:0:0:0:0:1 - - [22/May/2025:21:10:48 +0530] "GET /Inventory/styles.css HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [22/May/2025:21:13:06 +0530] "POST /Inventory/Login.jsp HTTP/1.1" 500 12731
0:0:0:0:0:0:0:1 - - [22/May/2025:21:13:06 +0530] "GET /Inventory/styles.css HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [22/May/2025:21:20:32 +0530] "POST /Inventory/Login.jsp HTTP/1.1" 500 12734
0:0:0:0:0:0:0:1 - - [22/May/2025:21:20:32 +0530] "GET /Inventory/styles.css HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [22/May/2025:21:22:37 +0530] "POST /Inventory/Login.jsp HTTP/1.1" 500 12750
0:0:0:0:0:0:0:1 - - [22/May/2025:21:22:37 +0530] "GET /Inventory/styles.css HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [22/May/2025:21:22:39 +0530] "GET /Inventory/Order.html HTTP/1.1" 200 18905
0:0:0:0:0:0:0:1 - - [22/May/2025:21:26:21 +0530] "GET /Inventory/Order.html HTTP/1.1" 200 14750
0:0:0:0:0:0:0:1 - - [22/May/2025:21:27:22 +0530] "GET /Inventory/Order.html HTTP/1.1" 200 14752
