0:0:0:0:0:0:0:1 - - [19/May/2025:19:30:18 +0530] "POST /Inventory/Login.jsp HTTP/1.1" 500 2105
0:0:0:0:0:0:0:1 - - [19/May/2025:19:31:33 +0530] "GET /Inventory/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2025:19:31:41 +0530] "POST /Inventory/Login.jsp HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [19/May/2025:19:34:36 +0530] "GET /Inventory/Home.html HTTP/1.1" 200 2676
0:0:0:0:0:0:0:1 - - [19/May/2025:19:34:42 +0530] "GET /Inventory/deleteItem.jsp HTTP/1.1" 404 745
0:0:0:0:0:0:0:1 - - [19/May/2025:19:35:02 +0530] "GET /Inventory/Home.html HTTP/1.1" 200 2583
0:0:0:0:0:0:0:1 - - [19/May/2025:19:43:38 +0530] "GET /Inventory/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2025:19:43:45 +0530] "POST /Inventory/Login.jsp HTTP/1.1" 500 2583
0:0:0:0:0:0:0:1 - - [19/May/2025:19:51:57 +0530] "GET /Inventory/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2025:19:52:05 +0530] "POST /Inventory/Login.jsp HTTP/1.1" 500 2583
0:0:0:0:0:0:0:1 - - [19/May/2025:19:52:11 +0530] "POST /Inventory/Login.jsp HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [19/May/2025:19:52:21 +0530] "POST /Inventory/Login.jsp HTTP/1.1" 500 2583
0:0:0:0:0:0:0:1 - - [19/May/2025:20:07:35 +0530] "GET /Inventory/Home.html HTTP/1.1" 200 5866
0:0:0:0:0:0:0:1 - - [19/May/2025:20:10:16 +0530] "GET /Inventory/Home.html HTTP/1.1" 200 6778
