127.0.0.1 - - [02/Jun/2025:09:50:34 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [02/Jun/2025:09:50:34 +0530] "GET /Paper_inventory/Login.html HTTP/1.1" 200 6607
0:0:0:0:0:0:0:1 - - [02/Jun/2025:09:50:35 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [02/Jun/2025:09:50:43 +0530] "POST /Paper_inventory/Login.jsp HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [02/Jun/2025:09:51:08 +0530] "GET /Paper_inventory/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2025:09:51:09 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [02/Jun/2025:09:51:16 +0530] "POST /Paper_inventory/Login.jsp HTTP/1.1" 200 12802
0:0:0:0:0:0:0:1 - - [02/Jun/2025:09:51:16 +0530] "GET /Paper_inventory/styles.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [02/Jun/2025:10:06:20 +0530] "GET /Paper_inventory/Product.jsp HTTP/1.1" 500 3930
0:0:0:0:0:0:0:1 - - [02/Jun/2025:10:07:53 +0530] "GET /Paper_inventory/Product.jsp HTTP/1.1" 500 2141
0:0:0:0:0:0:0:1 - - [02/Jun/2025:10:08:11 +0530] "GET /Paper_inventory/Product.jsp HTTP/1.1" 200 10627
0:0:0:0:0:0:0:1 - - [02/Jun/2025:10:09:03 +0530] "GET /Paper_inventory/Product.jsp HTTP/1.1" 200 13806
0:0:0:0:0:0:0:1 - - [02/Jun/2025:10:10:10 +0530] "GET /Paper_inventory/Product.jsp HTTP/1.1" 200 13950
0:0:0:0:0:0:0:1 - - [02/Jun/2025:10:13:49 +0530] "GET /Paper_inventory/Product.jsp HTTP/1.1" 200 16458
0:0:0:0:0:0:0:1 - - [02/Jun/2025:10:15:51 +0530] "GET /Paper_inventory/Product.jsp HTTP/1.1" 200 14586
0:0:0:0:0:0:0:1 - - [02/Jun/2025:10:16:25 +0530] "GET /Paper_inventory/Product.jsp HTTP/1.1" 200 14685
0:0:0:0:0:0:0:1 - - [02/Jun/2025:10:17:04 +0530] "GET /Paper_inventory/Product.jsp HTTP/1.1" 200 14949
0:0:0:0:0:0:0:1 - - [02/Jun/2025:10:18:16 +0530] "GET /Paper_inventory/Product.jsp HTTP/1.1" 200 14951
0:0:0:0:0:0:0:1 - - [02/Jun/2025:10:18:26 +0530] "GET /Paper_inventory/Product.html HTTP/1.1" 404 784
