0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:25:41 +0530] "GET /Paper_inventory/NewFile.jsp HTTP/1.1" 200 8385
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:26:36 +0530] "GET /Paper_inventory/NewFile.jsp HTTP/1.1" 200 11310
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:26:42 +0530] "GET /Paper_inventory/Home.jsp HTTP/1.1" 200 11745
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:26:42 +0530] "GET /Paper_inventory/styles.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:27:00 +0530] "GET /Paper_inventory/NewFile.jsp HTTP/1.1" 200 11310
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:27:11 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:29:59 +0530] "GET /Paper_inventory/NewFile.jsp HTTP/1.1" 200 14179
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:30:14 +0530] "POST /Paper_inventory/SavePurchase.jsp HTTP/1.1" 200 728
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:30:15 +0530] "GET /Paper_inventory/Purchase_order.jsp HTTP/1.1" 200 7220
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:32:26 +0530] "GET /Paper_inventory/Purchase_order.jsp HTTP/1.1" 200 7220
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:33:14 +0530] "GET /Paper_inventory/Purchase_order.jsp HTTP/1.1" 200 7220
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:33:37 +0530] "GET /Paper_inventory/Purchase_order.jsp HTTP/1.1" 200 7220
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:33:57 +0530] "GET /Paper_inventory/NewFile.jsp HTTP/1.1" 200 8385
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:34:58 +0530] "GET /Paper_inventory/Purchase_order.jsp HTTP/1.1" 200 7220
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:35:10 +0530] "GET /Paper_inventory/NewFile.jsp HTTP/1.1" 200 11252
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:35:48 +0530] "POST /Paper_inventory/SavePurchase.jsp HTTP/1.1" 200 728
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:35:49 +0530] "GET /Paper_inventory/Purchase_order.jsp HTTP/1.1" 200 7220
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:41:42 +0530] "GET /Paper_inventory/NewFile.jsp HTTP/1.1" 200 11252
